Date;Description;Compte;Montant;Catégorie;Sous-Catégorie;Note;Pointée
"03/03/2023";"Virement En Votre Faveur Dagnicourt D. Ou Dagnicourt M. V Virement De Dagnicourt D. Ou Dagnicourt M. Virement Vers Paul";"Compte De Dépôt M. Bourhis Paul";"7.75";"Entrées d'argent";"Remboursements";"";"Non"
"02/03/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-17.99";"Achats & Shopping";"Films & DVDs";"";"Non"
"01/03/2023";"Virement En Votre Faveur M. Klein Christopher Spotify M. Klein Christopher Spotify";"Compte De Dépôt M. Bourhis Paul";"6.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"01/03/2023";"Prlv Credit Agricole De Paris Credit Agricole Assurance Habitation Echeance Cotisation Du Contrat Pacifica";"Compte De Dépôt M. Bourhis Paul";"-16.5";"Logement";"Assurance habitation";"";"Non"
"01/03/2023";"Virement En Votre Faveur M. Pierrick Micouleau Perruche L Loyer Parking Mars Loyer Parking Mars";"Compte De Dépôt M. Bourhis Paul";"80.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"28/02/2023";"Virement Emis Web Boursorama";"Compte De Dépôt M. Bourhis Paul";"-3000.0";"Retraits, Chq. et Vir.";"Virements internes";"";"Non"
"27/02/2023";"Prlv Bitpanda Gmbh Thanks For Investing With a Bitpanda Savings Plan. Savings Savings Ddm";"Compte De Dépôt M. Bourhis Paul";"-75.0";"Banque";"Epargne";"";"Non"
"27/02/2023";"Virement En Votre Faveur Murex Bourhis Paul";"Compte De Dépôt M. Bourhis Paul";"2726.64";"Entrées d'argent";"Salaires";"";"Non"
"20/02/2023";"Virement En Votre Faveur Murex";"Compte De Dépôt M. Bourhis Paul";"198.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"14/02/2023";"Prlv Formule Globe Trotter";"Compte De Dépôt M. Bourhis Paul";"-2.0";"Banque";"Frais bancaires";"";"Non"
"14/02/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-15.99";"Achats & Shopping";"Films & DVDs";"";"Non"
"14/02/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-31.73";"Achats & Shopping";"Achats & Shopping - Autres";"";"Non"
"13/02/2023";"Virement En Votre Faveur M Jules Dalvit Vir De M Jules Dalvit";"Compte De Dépôt M. Bourhis Paul";"86.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"09/02/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-33.98";"Achats & Shopping";"Achats & Shopping - Autres";"";"Non"
"08/02/2023";"Prlv Fitness Clichy Sas F Magic Form Clichy Magicform Magicform";"Compte De Dépôt M. Bourhis Paul";"-29.9";"Loisirs & Sorties";"Sport";"";"Non"
"07/02/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-74.74";"Achats & Shopping";"Vêtements/Chaussures";"";"Non"
"06/02/2023";"Prlv Free Mobile Fmpmt Fm";"Compte De Dépôt M. Bourhis Paul";"-15.99";"Abonnements";"Téléphonie mobile";"";"Non"
"06/02/2023";"Prlv Forever Assurance Emprunteur Forever";"Compte De Dépôt M. Bourhis Paul";"-17.66";"Divers";"Assurance";"";"Non"
"06/02/2023";"Prlv Free Telecom Free Hautdebit Fhd";"Compte De Dépôt M. Bourhis Paul";"-34.99";"Abonnements";"Internet";"";"Non"
"05/02/2023";"Remboursement De Pret Echeance";"Compte De Dépôt M. Bourhis Paul";"-974.63";"Banque";"Remboursement emprunt";"";"Non"
"04/02/2023";"Virement Emis Web Boursorama";"Compte De Dépôt M. Bourhis Paul";"-3000.0";"Retraits, Chq. et Vir.";"Virements internes";"";"Non"
"03/02/2023";"Virement En Votre Faveur Dagnicourt D. Ou Dagnicourt M. V Virement De Dagnicourt D. Ou Dagnicourt M. Virement Vers Paul";"Compte De Dépôt M. Bourhis Paul";"7.75";"Entrées d'argent";"Remboursements";"";"Non"
"02/02/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-17.99";"Achats & Shopping";"Achats & Shopping - Autres";"";"Non"
"01/02/2023";"Virement En Votre Faveur M. Klein Christopher Spotify M. Klein Christopher Spotify";"Compte De Dépôt M. Bourhis Paul";"6.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"01/02/2023";"Prlv Credit Agricole De Paris Credit Agricole Assurance Habitation Echeance Cotisation Du Contrat Pacifica";"Compte De Dépôt M. Bourhis Paul";"-16.5";"Logement";"Assurance habitation";"";"Non"
"01/02/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-13.3";"Achats & Shopping";"Achats & Shopping - Autres";"";"Non"
"30/01/2023";"Virement En Votre Faveur Murex Bourhis Paul";"Compte De Dépôt M. Bourhis Paul";"2724.48";"Entrées d'argent";"Salaires";"";"Non"
"30/01/2023";"Prlv Bitpanda Gmbh Thanks For Investing With a Bitpanda Savings Plan. Savings Savings Ddm";"Compte De Dépôt M. Bourhis Paul";"-75.0";"Banque";"Epargne";"";"Non"
"28/01/2023";"Virement En Votre Faveur Vir Inst De M. Pierrick Micoulea Parking Parking";"Compte De Dépôt M. Bourhis Paul";"88.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"14/01/2023";"Prlv Formule Globe Trotter";"Compte De Dépôt M. Bourhis Paul";"-2.0";"Banque";"Frais bancaires";"";"Non"
"13/01/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-15.99";"Achats & Shopping";"Achats & Shopping - Autres";"";"Non"
"11/01/2023";"Prlv Paypal Europe S.a.r.l. Et Cie S. Paypal";"Compte De Dépôt M. Bourhis Paul";"-33.99";"Achats & Shopping";"Achats & Shopping - Autres";"";"Non"
"11/01/2023";"Prlv Edf Clients Particuliers Numero De Client Numero De Compte Xxx Simm";"Compte De Dépôt M. Bourhis Paul";"-36.96";"Logement";"Electricité";"";"Non"
"11/01/2023";"Prlv Syndiceo Prl. Syndic Syndiceo";"Compte De Dépôt M. Bourhis Paul";"-376.98";"Logement";"Charges diverses";"";"Non"
"10/01/2023";"Prlv Forever Assurance Emprunteur Forever";"Compte De Dépôt M. Bourhis Paul";"-17.66";"Divers";"Assurance";"";"Non"
"10/01/2023";"Prlv Fitness Clichy Sas F Magic Form Clichy Magicform Magicform";"Compte De Dépôt M. Bourhis Paul";"-29.9";"Loisirs & Sorties";"Sport";"";"Non"
"07/01/2023";"Virement Emis Web Mathieu Odile Dette Dette";"Compte De Dépôt M. Bourhis Paul";"-1000.0";"Banque";"Remboursement emprunt";"";"Non"
"05/01/2023";"Remboursement De Pret Echeance";"Compte De Dépôt M. Bourhis Paul";"-974.63";"Banque";"Remboursement emprunt";"";"Non"
"05/01/2023";"Prlv Free Telecom Free Hautdebit Fhd";"Compte De Dépôt M. Bourhis Paul";"-34.99";"Abonnements";"Internet";"";"Non"
"04/01/2023";"Virement En Votre Faveur Bnp Paribas Virt Participation O";"Compte De Dépôt M. Bourhis Paul";"2410.31";"Entrées d'argent";"Salaires";"";"Non"
"04/01/2023";"Prlv Free Mobile Fmpmt Fm";"Compte De Dépôt M. Bourhis Paul";"-15.99";"Abonnements";"Téléphonie mobile";"";"Non"
"03/01/2023";"Virement En Votre Faveur Dagnicourt D. Ou Dagnicourt M. V Virement De Dagnicourt D. Ou Dagnicourt M. Virement Vers Paul";"Compte De Dépôt M. Bourhis Paul";"7.75";"Entrées d'argent";"Remboursements";"";"Non"
"02/01/2023";"Prlv Credit Agricole De Paris Credit Agricole Assurance Habitation Echeance Cotisation Du Contrat Pacifica";"Compte De Dépôt M. Bourhis Paul";"-16.5";"Logement";"Assurance habitation";"";"Non"
"02/01/2023";"Virement En Votre Faveur M. Klein Christopher Spotify M. Klein Christopher Spotify";"Compte De Dépôt M. Bourhis Paul";"6.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"19/07/2023";"CB Hall Beer Brewer";"Carte Visa Ultim - Mr Paul Bourhis";"-15.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"17/07/2023";"CB Deliveroo";"Carte Visa Ultim - Mr Paul Bourhis";"-19.44";"Alimentation & Restau.";"Fast foods";"";"Non"
"17/07/2023";"CB Franprix";"Carte Visa Ultim - Mr Paul Bourhis";"-5.45";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"17/07/2023";"Carte";"Carte Visa Ultim - Mr Paul Bourhis";"-24.3";"Alimentation & Restau.";"Fast foods";"";"Non"
"17/07/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-9.03";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"17/07/2023";"CB Sc Bar Cygale";"Carte Visa Ultim - Mr Paul Bourhis";"-15.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"17/07/2023";"CB Deliveroo";"Carte Visa Ultim - Mr Paul Bourhis";"-16.66";"Alimentation & Restau.";"Fast foods";"";"Non"
"13/07/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-7.99";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"13/07/2023";"CB Edreams";"Carte Visa Ultim - Mr Paul Bourhis";"-119.67";"Loisirs & Sorties";"Voyages / Vacances";"";"Non"
"12/07/2023";"CB Microsoft";"Carte Visa Ultim - Mr Paul Bourhis";"-0.53";"Abonnements";"Abonnements - Autres";"";"Non"
"12/07/2023";"CB Le Voltigeur";"Carte Visa Ultim - Mr Paul Bourhis";"-23.55";"Divers";"Tabac";"";"Non"
"12/07/2023";"CB Monoprix";"Carte Visa Ultim - Mr Paul Bourhis";"-2.98";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"11/07/2023";"CB Les Maillets";"Carte Visa Ultim - Mr Paul Bourhis";"-15.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"10/07/2023";"CB Sc Bar Cygale";"Carte Visa Ultim - Mr Paul Bourhis";"-7.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"10/07/2023";"CB Sc Bar Cygale";"Carte Visa Ultim - Mr Paul Bourhis";"-7.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"10/07/2023";"CB Sncf Internet";"Carte Visa Ultim - Mr Paul Bourhis";"-75.0";"Auto & Transports";"Billets de train";"";"Non"
"10/07/2023";"CB Jd So Ouest";"Carte Visa Ultim - Mr Paul Bourhis";"-110.0";"Achats & Shopping";"Cadeaux";"";"Non"
"10/07/2023";"Carte";"Carte Visa Ultim - Mr Paul Bourhis";"-28.17";"Esthétique & Soins";"Esthétique";"";"Non"
"10/07/2023";"CB Yummy Asian";"Carte Visa Ultim - Mr Paul Bourhis";"-38.9";"Alimentation & Restau.";"Fast foods";"";"Non"
"10/07/2023";"CB Zara";"Carte Visa Ultim - Mr Paul Bourhis";"-19.9";"Achats & Shopping";"Vêtements/Chaussures";"";"Non"
"10/07/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-20.83";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"07/07/2023";"CB Hall Beer Brewer";"Carte Visa Ultim - Mr Paul Bourhis";"-24.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"07/07/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-16.77";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"06/07/2023";"CB Hall Beer Brewer";"Carte Visa Ultim - Mr Paul Bourhis";"-17.75";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"04/07/2023";"CB Sc Bar Cygale";"Carte Visa Ultim - Mr Paul Bourhis";"-26.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"03/07/2023";"CB Cinq Fois Plus";"Carte Visa Ultim - Mr Paul Bourhis";"-19.3";"Alimentation & Restau.";"Restaurants";"";"Non"
"03/07/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-49.02";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"03/07/2023";"CB Deliveroo";"Carte Visa Ultim - Mr Paul Bourhis";"-16.66";"Alimentation & Restau.";"Fast foods";"";"Non"
"03/07/2023";"CB Toogoodtog";"Carte Visa Ultim - Mr Paul Bourhis";"-3.99";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"03/07/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-17.98";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"03/07/2023";"CB Les Batignoll";"Carte Visa Ultim - Mr Paul Bourhis";"-25.6";"Loisirs & Sorties";"Loisirs & Sorties - Autres";"";"Non"
"03/07/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-9.16";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"03/07/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-10.89";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"29/06/2023";"CB Sc Bar Cygale";"Carte Visa Ultim - Mr Paul Bourhis";"-24.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"28/06/2023";"CB El Alamein";"Carte Visa Ultim - Mr Paul Bourhis";"-38.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"28/06/2023";"CB Supermarche Riv";"Carte Visa Ultim - Mr Paul Bourhis";"-8.19";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"28/06/2023";"CB Les Nautes";"Carte Visa Ultim - Mr Paul Bourhis";"-18.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"28/06/2023";"CB Amzn Mktp";"Carte Visa Ultim - Mr Paul Bourhis";"-32.89";"Achats & Shopping";"Achats & Shopping - Autres";"";"Non"
"27/06/2023";"CB Food Breizh";"Carte Visa Ultim - Mr Paul Bourhis";"-18.0";"Loisirs & Sorties";"Sortie au restaurant";"";"Non"
"27/06/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-12.75";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"26/06/2023";"CB Picard Sa";"Carte Visa Ultim - Mr Paul Bourhis";"-5.39";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"26/06/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-13.7";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"26/06/2023";"CB Pharmacie Encaou";"Carte Visa Ultim - Mr Paul Bourhis";"-29.9";"Santé";"Pharmacie";"";"Non"
"26/06/2023";"Carte";"Carte Visa Ultim - Mr Paul Bourhis";"-18.61";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"26/06/2023";"CB Le Hang Art";"Carte Visa Ultim - Mr Paul Bourhis";"-5.9";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"26/06/2023";"CB Franprix";"Carte Visa Ultim - Mr Paul Bourhis";"-20.87";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"26/06/2023";"CB Rosa Bonheur Se";"Carte Visa Ultim - Mr Paul Bourhis";"-17.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"22/06/2023";"CB Picard Sa";"Carte Visa Ultim - Mr Paul Bourhis";"-5.24";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"22/06/2023";"CB Dnc";"Carte Visa Ultim - Mr Paul Bourhis";"-16.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"22/06/2023";"CB Sncf Internet";"Carte Visa Ultim - Mr Paul Bourhis";"-78.0";"Auto & Transports";"Billets de train";"";"Non"
"21/06/2023";"CB Www.foodles.co";"Carte Visa Ultim - Mr Paul Bourhis";"-5.0";"Alimentation & Restau.";"Restaurants";"";"Non"
"21/06/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-11.33";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"20/06/2023";"CB Coma";"Carte Visa Ultim - Mr Paul Bourhis";"-17.0";"Alimentation & Restau.";"Café";"";"Non"
"20/06/2023";"CB Sc Au Bureau";"Carte Visa Ultim - Mr Paul Bourhis";"-20.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"19/06/2023";"CB Picard Sa";"Carte Visa Ultim - Mr Paul Bourhis";"-3.6";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"19/06/2023";"CB Toogoodtog";"Carte Visa Ultim - Mr Paul Bourhis";"-3.99";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"19/06/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-14.5";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"19/06/2023";"CB Toogoodtog";"Carte Visa Ultim - Mr Paul Bourhis";"-5.99";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"19/06/2023";"CB Dnh*godaddy.com Europe";"Carte Visa Ultim - Mr Paul Bourhis";"-28.66";"Dépenses pro";"Services en ligne";"";"Non"
"19/06/2023";"CB Carte Ticket Restaurant";"Carte Visa Ultim - Mr Paul Bourhis";"-6.52";"Alimentation & Restau.";"Restaurants";"";"Non"
"16/06/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-7.73";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"16/06/2023";"CB Supermagmalako";"Carte Visa Ultim - Mr Paul Bourhis";"-1.55";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"15/06/2023";"CB Gladines Halles";"Carte Visa Ultim - Mr Paul Bourhis";"-26.33";"Alimentation & Restau.";"Restaurants";"";"Non"
"15/06/2023";"CB Carte Ticket Restaurant";"Carte Visa Ultim - Mr Paul Bourhis";"-1.6";"Alimentation & Restau.";"Restaurants";"";"Non"
"12/06/2023";"CB Deliveroo";"Carte Visa Ultim - Mr Paul Bourhis";"-1.56";"Alimentation & Restau.";"Fast foods";"";"Non"
"12/06/2023";"CB Carte Ticket Restaurant";"Carte Visa Ultim - Mr Paul Bourhis";"-1.0";"Alimentation & Restau.";"Restaurants";"";"Non"
"12/06/2023";"CB Microsoft";"Carte Visa Ultim - Mr Paul Bourhis";"-1.64";"Abonnements";"Abonnements - Autres";"";"Non"
"12/06/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-9.48";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"09/06/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-12.28";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"08/06/2023";"CB Sc Bar Cygale";"Carte Visa Ultim - Mr Paul Bourhis";"-30.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"07/06/2023";"CB Les Saveurs D'arvor";"Carte Visa Ultim - Mr Paul Bourhis";"-30.05";"Achats & Shopping";"Cadeaux";"";"Non"
"07/06/2023";"CB Le Gambetta";"Carte Visa Ultim - Mr Paul Bourhis";"-7.5";"Alimentation & Restau.";"Restaurants";"";"Non"
"06/06/2023";"CB Le Gambetta";"Carte Visa Ultim - Mr Paul Bourhis";"-13.7";"Alimentation & Restau.";"Restaurants";"";"Non"
"06/06/2023";"CB Casino Shop Paix";"Carte Visa Ultim - Mr Paul Bourhis";"-10.27";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"05/06/2023";"CB A L Aise";"Carte Visa Ultim - Mr Paul Bourhis";"-7.9";"Dépenses pro";"Notes de frais";"";"Non"
"05/06/2023";"CB Le Gambetta";"Carte Visa Ultim - Mr Paul Bourhis";"-5.2";"Alimentation & Restau.";"Restaurants";"";"Non"
"05/06/2023";"CB Le Gambetta";"Carte Visa Ultim - Mr Paul Bourhis";"-5.2";"Alimentation & Restau.";"Restaurants";"";"Non"
"05/06/2023";"CB A L Aise";"Carte Visa Ultim - Mr Paul Bourhis";"-67.5";"Dépenses pro";"Notes de frais";"";"Non"
"02/06/2023";"CB Toogoodtog";"Carte Visa Ultim - Mr Paul Bourhis";"-2.49";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"02/06/2023";"CB Deliveroo";"Carte Visa Ultim - Mr Paul Bourhis";"-22.29";"Alimentation & Restau.";"Fast foods";"";"Non"
"02/06/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-11.94";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"02/06/2023";"CB Amz Digital Fra";"Carte Visa Ultim - Mr Paul Bourhis";"-2.99";"Loisirs & Sorties";"Divertissements";"";"Non"
"01/06/2023";"CB Camerone";"Carte Visa Ultim - Mr Paul Bourhis";"-24.0";"Alimentation & Restau.";"Restaurants";"";"Non"
"30/05/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-18.47";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"30/05/2023";"CB Toogoodtog";"Carte Visa Ultim - Mr Paul Bourhis";"-3.99";"Alimentation & Restau.";"Alimentation - Autres";"";"Non"
"30/05/2023";"CB Inter Pakama";"Carte Visa Ultim - Mr Paul Bourhis";"-6.29";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
